user_id,best_tau,FAR,FRR,ACC,ERR,n_genuine,n_impostor
s002,0.0075902228313498195,0.085,0.655,0.63,0.37,200,200
s003,0.006559102563187481,0.075,0.975,0.475,0.525,200,200
s004,0.027516057714819908,0.77,0.13,0.55,0.45,200,200
s005,0.029068569419905543,0.795,0.125,0.54,0.46,200,200
s007,0.01713991431519389,0.59,0.18,0.615,0.385,200,200
s008,0.016249566823244094,0.55,0.19,0.63,0.37,200,200
s010,0.009959139525890351,0.24,0.36,0.7,0.3,200,200
s011,0.04932680495083332,0.92,0.05,0.515,0.48500000000000004,200,200
s012,0.05763419874012468,0.93,0.07,0.5,0.5,200,200
s013,0.016348720714449882,0.555,0.155,0.645,0.35500000000000004,200,200
s015,0.02936022178269921,0.775,0.085,0.57,0.43,200,200
s016,0.09048206768929956,0.975,0.075,0.475,0.525,200,200
s017,0.01604857876896858,0.53,0.17,0.65,0.35000000000000003,200,200
s018,0.03555796205997466,0.83,0.09,0.54,0.45999999999999996,200,200
s019,0.015085746934637427,0.495,0.365,0.57,0.43,200,200
s020,0.060498159006237985,0.925,0.055,0.51,0.49000000000000005,200,200
s021,0.015343560250476,0.495,0.275,0.615,0.385,200,200
s022,0.10237763896584487,0.98,0.08,0.47,0.53,200,200
s024,0.01708882100880146,0.545,0.265,0.595,0.405,200,200
s025,0.014317109789699314,0.46,0.3,0.62,0.38,200,200
s026,0.013827150519937277,0.445,0.205,0.675,0.325,200,200
s027,0.03566847935318946,0.83,0.07,0.55,0.44999999999999996,200,200
s028,0.014969185460358858,0.48,0.23,0.645,0.355,200,200
s029,0.009948118682950733,0.27,0.37,0.68,0.32,200,200
s030,0.05989613905549049,0.91,0.06,0.515,0.485,200,200
s031,0.04641379475593567,0.885,0.025,0.545,0.455,200,200
s032,0.01775213085114956,0.595,0.235,0.585,0.415,200,200
s033,0.11693313159048539,0.98,0.08,0.47,0.53,200,200
s034,0.029648858308792114,0.765,0.145,0.545,0.455,200,200
s035,0.030437117703258992,0.77,0.13,0.55,0.45,200,200
s036,0.1387949921190731,0.995,0.095,0.455,0.545,200,200
s037,0.008645831146277486,0.17,0.6,0.615,0.385,200,200
s038,0.009074994842521847,0.195,0.625,0.59,0.41000000000000003,200,200
s039,0.056996708642691365,0.895,0.045,0.53,0.47000000000000003,200,200
s040,0.08956456631422043,0.965,0.085,0.475,0.525,200,200
s041,0.09442460060119628,0.975,0.095,0.465,0.535,200,200
s042,0.04440917719155546,0.865,0.085,0.525,0.475,200,200
s043,0.057198154758661975,0.905,0.035,0.53,0.47000000000000003,200,200
s044,0.02718794564716518,0.72,0.13,0.575,0.425,200,200
s046,0.024107105974107965,0.695,0.205,0.55,0.44999999999999996,200,200
s047,0.025592502057552338,0.7,0.22,0.54,0.45999999999999996,200,200
s048,0.012962588528171181,0.415,0.235,0.675,0.32499999999999996,200,200
s049,0.005276023549959064,0.08,0.98,0.47,0.53,200,200
s050,0.01984268180094659,0.59,0.14,0.635,0.365,200,200
s051,0.027533664647489787,0.685,0.065,0.625,0.375,200,200
s052,0.052307191211730206,0.875,0.045,0.54,0.46,200,200
s053,0.06170877084136009,0.9,0.06,0.52,0.48,200,200
s054,0.012971918992698192,0.385,0.415,0.6,0.4,200,200
s055,0.040153264403343186,0.825,0.055,0.56,0.44,200,200
s056,0.02649065116420388,0.68,0.11,0.605,0.395,200,200
s057,0.02425956446677446,0.655,0.155,0.595,0.405,200,200
