user_id,best_tau,FAR,FRR,ACC,ERR,n_genuine,n_impostor,val_FAR,val_FRR,val_ACC,n_val_genuine,n_val_impostor
s002,0.7517373830080031,0.275,0.2,0.7625,0.23750000000000002,80,80,0.225,0.25,0.7625,80,80
s003,0.7427072212551579,0.1125,0.2375,0.825,0.175,80,80,0.0875,0.1625,0.875,80,80
s004,0.8743023067170926,0.1375,0.125,0.86875,0.13125,80,80,0.175,0.1375,0.84375,80,80
s005,1.389588594436645,0.075,0.0625,0.93125,0.06875,80,80,0.0875,0.025,0.94375,80,80
s007,0.7454524972944548,0.2625,0.2125,0.7625,0.2375,80,80,0.3,0.1625,0.76875,80,80
s008,1.2266530968926166,0.25,0.1,0.825,0.175,80,80,0.3125,0.1,0.79375,80,80
s010,1.2031876176053822,0.075,0.15,0.8875,0.11249999999999999,80,80,0.1125,0.1,0.89375,80,80
s011,0.7598113848404451,0.1125,0.275,0.80625,0.19375,80,80,0.1125,0.2625,0.8125,80,80
s012,1.3907382365067789,0.1,0.0625,0.91875,0.08125,80,80,0.05,0.0625,0.94375,80,80
s013,0.9167425008253617,0.125,0.1,0.8875,0.1125,80,80,0.15,0.175,0.8375,80,80
s015,1.6560696197278568,0.1875,0.0625,0.875,0.125,80,80,0.3,0.025,0.8375,80,80
s016,0.9903737853332,0.1375,0.15,0.85625,0.14375,80,80,0.1125,0.1375,0.875,80,80
s017,1.865480862603043,0.0375,0.075,0.94375,0.056249999999999994,80,80,0.0,0.05,0.975,80,80
s018,0.6338469524997653,0.2125,0.325,0.73125,0.26875,80,80,0.2,0.1875,0.80625,80,80
s019,0.8095110593420087,0.05,0.175,0.8875,0.11249999999999999,80,80,0.05,0.1875,0.88125,80,80
s020,0.8078166249304107,0.3375,0.2375,0.7125,0.2875,80,80,0.3,0.2625,0.71875,80,80
s021,0.6482834638971271,0.1125,0.2625,0.8125,0.1875,80,80,0.1,0.15,0.875,80,80
s022,1.3765336963263421,0.025,0.1125,0.93125,0.06875,80,80,0.0125,0.0625,0.9625,80,80
s024,2.2766606677662247,0.075,0.0375,0.94375,0.056249999999999994,80,80,0.075,0.025,0.95,80,80
s025,1.2773236783706776,0.0375,0.1125,0.925,0.075,80,80,0.075,0.0875,0.91875,80,80
s026,1.1014783967625006,0.125,0.075,0.9,0.1,80,80,0.125,0.1,0.8875,80,80
s027,0.796384950713678,0.0625,0.3,0.81875,0.18125,80,80,0.075,0.2375,0.84375,80,80
s028,2.3487053901498944,0.0,0.025,0.9875,0.0125,80,80,0.0,0.025,0.9875,80,80
s029,0.6468158851970326,0.0625,0.375,0.78125,0.21875,80,80,0.075,0.275,0.825,80,80
s030,0.8682576641891941,0.05,0.1625,0.89375,0.10625000000000001,80,80,0.075,0.125,0.9,80,80
s031,0.8331600550449256,0.2875,0.225,0.74375,0.25625,80,80,0.2875,0.1875,0.7625,80,80
s032,0.42627716627987944,0.2625,0.5125,0.6125,0.38749999999999996,80,80,0.125,0.5375,0.66875,80,80
s033,1.4155143739960399,0.075,0.0875,0.91875,0.08124999999999999,80,80,0.075,0.1125,0.90625,80,80
s034,0.6599564294923436,0.3125,0.2625,0.7125,0.2875,80,80,0.1875,0.275,0.76875,80,80
s035,0.675021669431166,0.25,0.225,0.7625,0.2375,80,80,0.2,0.1875,0.80625,80,80
s036,2.63357548114024,0.0,0.0375,0.98125,0.01875,80,80,0.0,0.0125,0.99375,80,80
s037,0.5529370805350217,0.2,0.4375,0.68125,0.31875,80,80,0.1125,0.3,0.79375,80,80
s038,0.6105321282328982,0.0625,0.2625,0.8375,0.1625,80,80,0.0625,0.2875,0.825,80,80
s039,0.9204108452796924,0.1375,0.175,0.84375,0.15625,80,80,0.125,0.15,0.8625,80,80
s040,1.4047089738556833,0.2,0.05,0.875,0.125,80,80,0.2,0.0625,0.86875,80,80
s041,1.8655882722681218,0.175,0.0375,0.89375,0.10625,80,80,0.1375,0.05,0.90625,80,80
s042,0.7303761373866688,0.0375,0.2,0.88125,0.11875000000000001,80,80,0.0125,0.2125,0.8875,80,80
s043,1.297528054930947,0.025,0.075,0.95,0.05,80,80,0.0125,0.0875,0.95,80,80
s044,0.8178186977993358,0.0375,0.1875,0.8875,0.1125,80,80,0.025,0.0875,0.94375,80,80
s046,0.7472222646258094,0.2875,0.3,0.70625,0.29374999999999996,80,80,0.2375,0.25,0.75625,80,80
s047,0.7248560786247253,0.15,0.25,0.8,0.2,80,80,0.2,0.2,0.8,80,80
s048,0.821584199847597,0.1625,0.2375,0.8,0.2,80,80,0.1125,0.15,0.86875,80,80
s049,0.6880011067968427,0.0875,0.1125,0.9,0.1,80,80,0.05,0.1875,0.88125,80,80
s050,1.0282402175845522,0.2625,0.125,0.80625,0.19375,80,80,0.225,0.125,0.825,80,80
s051,1.0246391466892126,0.4,0.1125,0.74375,0.25625000000000003,80,80,0.325,0.1,0.7875,80,80
s052,1.5142794073711747,0.05,0.1125,0.91875,0.08125,80,80,0.0125,0.1,0.94375,80,80
s053,1.1262016108541777,0.125,0.25,0.8125,0.1875,80,80,0.0625,0.1125,0.9125,80,80
s054,0.5115182058377699,0.225,0.3375,0.71875,0.28125,80,80,0.1375,0.2875,0.7875,80,80
s055,0.9093547098203136,0.2,0.125,0.8375,0.1625,80,80,0.1,0.125,0.8875,80,80
s056,0.9464282974871717,0.4,0.1125,0.74375,0.25625000000000003,80,80,0.2875,0.075,0.81875,80,80
s057,0.9595240434010823,0.3375,0.1,0.78125,0.21875,80,80,0.2375,0.1375,0.8125,80,80
