model,fold,cv_accuracy,cv_macro_f1,n_train,n_val
logreg_baseline,1,0.5430916552667578,0.5257253127633389,14127,2193
logreg_baseline,2,0.48994469582704875,0.47202594412361054,12342,3978
logreg_baseline,3,0.3473389355742297,0.3229126108511441,14178,2142
logreg_baseline,4,0.45122859270290394,0.43223014911097785,12291,4029
logreg_baseline,5,0.5198592257415787,0.5069397448960741,12342,3978
svm_rbf_final,1,0.5567715458276333,0.5428176367921527,14127,2193
svm_rbf_final,2,0.5603318250377074,0.5495330260736778,12342,3978
svm_rbf_final,3,0.3734827264239029,0.35784433959854395,14178,2142
svm_rbf_final,4,0.5207247455944403,0.508860133855641,12291,4029
svm_rbf_final,5,0.5324283559577677,0.5212196179986597,12342,3978
