model,fold,cv_accuracy,cv_macro_f1,n_train,n_val
logreg_baseline,1,0.3367521367521368,0.2535960009982253,18678,4680
logreg_baseline,2,0.28871728871728874,0.2348731016060627,18696,4662
logreg_baseline,3,0.4324786324786325,0.34667841459008975,18678,4680
logreg_baseline,4,0.3072314933675653,0.2732616736170916,18684,4674
logreg_baseline,5,0.2767052767052767,0.23370033630708614,18696,4662
svm_rbf_final,1,0.3405982905982906,0.24111031461702975,18678,4680
svm_rbf_final,2,0.2488202488202488,0.20447395205835145,18696,4662
svm_rbf_final,3,0.3213675213675214,0.2852263721907896,18678,4680
svm_rbf_final,4,0.2995293110825845,0.235795280659167,18684,4674
svm_rbf_final,5,0.25139425139425137,0.20629319291734632,18696,4662
